Country,Attacking,Midfield,Defence,Overall
Argentina,87,81,80,82
Australia,69,71,73,73
Belgium,86,83,85,84
Brazil,86,83,85,85
Colombia,81,77,78,79
Costa Rica,77,77,75,77
Croatia,77,77,75,77
Denmark,77,77,75,77
Egypt,74,72,71,72
England,84,81,81,82
France,82,85,81,84
Germany,81,85,84,85
Iceland,73,74,69,72
Iran,73,74,69,72
Japan,73,74,69,72
Korea Republic,73,74,69,72
Mexico,79,79,76,78
Morocco,73,74,69,72
Nigeria,77,77,75,77
Panama,73,74,69,72
Peru,73,74,69,72
Poland,82,75,79,78
Portugal,85,82,80,82
Russia,80,78,76,78
Saudi Arabia,73,73,73,73
Senegal,73,74,69,72
Serbia,73,74,69,72
Spain,84,86,86,86
Sweden,74,78,77,78
Switzerland,74,78,77,78
Tunisia,74,78,77,78
Uruguay,86,76,79,81
